31-03-2026 20:03:06 | GET | cafeteria-api/categorias
31-03-2026 20:03:09 | GET | cafeteria-api/produtos
31-03-2026 20:07:48 | GET | cafeteria-api/categorias
31-03-2026 20:07:48 | GET | cafeteria-api/produtos
31-03-2026 20:08:03 | OPTIONS | cafeteria-api/produtos
31-03-2026 20:08:03 | POST | cafeteria-api/produtos
31-03-2026 20:08:06 | GET | cafeteria-api/produtos
31-03-2026 20:08:13 | OPTIONS | cafeteria-api/produtos
31-03-2026 20:08:13 | POST | cafeteria-api/produtos
31-03-2026 20:08:13 | GET | cafeteria-api/produtos
31-03-2026 20:08:19 | GET | cafeteria-api/categorias
31-03-2026 20:08:27 | GET | cafeteria-api/categorias
31-03-2026 20:08:42 | POST | cafeteria-api/categorias
31-03-2026 20:08:42 | GET | cafeteria-api/categorias
31-03-2026 20:08:43 | GET | cafeteria-api/categorias
31-03-2026 20:08:43 | GET | cafeteria-api/produtos
31-03-2026 20:08:46 | GET | cafeteria-api/categorias
31-03-2026 20:08:47 | OPTIONS | cafeteria-api/categorias/6
31-03-2026 20:08:47 | DELETE | cafeteria-api/categorias/6
31-03-2026 20:08:47 | GET | cafeteria-api/categorias
31-03-2026 20:08:49 | GET | cafeteria-api/categorias
31-03-2026 20:08:49 | GET | cafeteria-api/produtos
31-03-2026 20:10:16 | GET | cafeteria-api/categorias
31-03-2026 20:10:16 | GET | cafeteria-api/produtos
31-03-2026 20:10:17 | GET | cafeteria-api/categorias
31-03-2026 20:11:18 | GET | cafeteria-api/categorias
31-03-2026 20:11:19 | GET | cafeteria-api/produtos
31-03-2026 20:12:52 | OPTIONS | cafeteria-api/produtos
31-03-2026 20:12:52 | POST | cafeteria-api/produtos
31-03-2026 20:12:54 | GET | cafeteria-api/produtos
31-03-2026 20:14:34 | OPTIONS | cafeteria-api/produtos
31-03-2026 20:14:34 | DELETE | cafeteria-api/produtos
31-03-2026 20:14:35 | GET | cafeteria-api/produtos
31-03-2026 20:14:57 | GET | cafeteria-api/categorias
31-03-2026 20:14:57 | GET | cafeteria-api/produtos
31-03-2026 20:15:19 | GET | cafeteria-api/categorias
31-03-2026 20:15:19 | GET | cafeteria-api/produtos
31-03-2026 20:15:24 | GET | cafeteria-api/categorias
31-03-2026 20:15:24 | GET | cafeteria-api/produtos
31-03-2026 20:15:27 | GET | cafeteria-api/categorias
31-03-2026 20:15:27 | GET | cafeteria-api/produtos
31-03-2026 20:15:32 | GET | cafeteria-api/categorias
31-03-2026 20:15:32 | GET | cafeteria-api/produtos
31-03-2026 20:15:36 | GET | cafeteria-api/categorias
31-03-2026 20:15:36 | GET | cafeteria-api/produtos
31-03-2026 20:15:40 | GET | cafeteria-api/categorias
31-03-2026 20:15:40 | GET | cafeteria-api/produtos
31-03-2026 20:15:48 | OPTIONS | cafeteria-api/produtos
31-03-2026 20:15:48 | POST | cafeteria-api/produtos
31-03-2026 20:15:48 | GET | cafeteria-api/produtos
31-03-2026 20:16:42 | OPTIONS | cafeteria-api/produtos
31-03-2026 20:16:42 | DELETE | cafeteria-api/produtos
31-03-2026 20:16:42 | GET | cafeteria-api/produtos
31-03-2026 20:17:13 | OPTIONS | cafeteria-api/produtos
31-03-2026 20:17:13 | POST | cafeteria-api/produtos
31-03-2026 20:17:13 | GET | cafeteria-api/produtos
31-03-2026 20:17:22 | OPTIONS | cafeteria-api/produtos
31-03-2026 20:17:22 | DELETE | cafeteria-api/produtos
31-03-2026 20:17:22 | GET | cafeteria-api/produtos
31-03-2026 20:17:24 | OPTIONS | cafeteria-api/produtos
31-03-2026 20:17:24 | DELETE | cafeteria-api/produtos
31-03-2026 20:17:24 | GET | cafeteria-api/produtos
31-03-2026 20:17:31 | OPTIONS | cafeteria-api/produtos
31-03-2026 20:17:31 | POST | cafeteria-api/produtos
31-03-2026 20:17:31 | GET | cafeteria-api/produtos
31-03-2026 20:17:35 | OPTIONS | cafeteria-api/produtos
31-03-2026 20:17:35 | DELETE | cafeteria-api/produtos
31-03-2026 20:17:35 | GET | cafeteria-api/produtos
